trait,attribute,family
dorsal head shields,small and keeled,viperidae
anterior temporal,smooth,viperidae
posterior temporal,smooth,viperidae
suprarostral,separated from nasals by nasorostrals,viperidae
nasal shield,concave depression,viperidae
subcutaneous nasal gland,no adjective,viperidae
ectopterygoid,with a lateral flange bearing a medial anterior process,viperidae
palatine-pterygoid articulation,an overlapping joint,viperidae
subcaudals,single,viperidae
parietal,bulbous,viperidae
ectopterygoid,with lateral flange without spine and with a long anterior process adjacent to the maxilla,viperidae
postorbital,long and narrow,viperidae
angular,present,viperidae
top of head,small keeled scales,viperidae
nasal,single,viperidae
nostril,in extreme anterior area,viperidae
eye,"very large, one and a half times distance to mouth, with vertically elliptic pupil, completely surrounded by circumocular scales",viperidae
temporals,enlarged and smooth,viperidae
supralabials,5 to 6 smooth,viperidae
infralabials,5 smooth,viperidae
sublinguals,"two pairs, smooth",viperidae
gulars,smooth,viperidae
proximal ventral scute,in contact with posterior pair of sublinguals,viperidae
dorsal scales,"19-23, imbricate and keeled",viperidae
ventrals,"114-128, smooth",viperidae
anal,single,viperidae
subcaudals,"14-22, smooth and single",viperidae
deep black color,shining,viperidae
white spots,scattered,viperidae
transverse bands,"narrow, distant",viperidae
belly,white spots more numerous and irregular,viperidae
yellow line,from the rostral along the canthus rostralis and the supraciliary edge to behind the angle of the mouth,viperidae
upper labials,"yellow band along, the lower margin of which is black",viperidae
rostral,"vertical yellow band, continued on the chin",viperidae
upper labials,8,viperidae
scales,"keeled, in 23 series",viperidae
ventrals,137,viperidae
subcaudals,"65, the 14 last double",viperidae
specimen length,39 inches,viperidae
a. contortrix,medium-sized,viperidae
average adult size,61–90 cm,viperidae
maximum size,132.1 cm,viperidae
ratio of tail to total length in males,0.11–0.17,viperidae
ratio of tail to total length in females,0.11–0.16,viperidae
anal plate,single,viperidae
dorsal scales,keeled,viperidae
midbody scale rows,21–25,viperidae
subcaudals in males,38 to 59,viperidae
subcaudals in females,37 to 49,viperidae
ventral scales,139–157,viperidae
supralabials,6 to 10,viperidae
infralabials,8 to 12,viperidae
total postoculars + suboculars,3 to 6,viperidae
dark crossbands on males,10–21,viperidae
background color on males,"brown, tan or grey",viperidae
dark crossbands on females,11–20,viperidae
cross-bands shape,hourglass or dumbbell shaped,viperidae
crossbands,may be broken at middorsum,viperidae
head color,coppery brown or reddish–brown,viperidae
cheek stripe,pale,viperidae
northern cottonmouth,"medium to large-bodied, semi-aquatic",viperidae
average adult size,76–114 cm,viperidae
maximum size,188 cm,viperidae
ratio of tail to total length,"0.13–0.19 in males, 0.12–0.18 in females",viperidae
anal plate,single,viperidae
dorsal scales,keeled,viperidae
midbody scale rows,25 (range 23–27),viperidae
subcaudals,"38-53 in males, 42-53 in females",viperidae
ventral scales,128–142,viperidae
supralabials,6 to 10 (mode 8),viperidae
infralabials,8 to 12 (mode 11),viperidae
postoculars + suboculars,1 to 4 (mode 3),viperidae
dark cross-bands,10–17,viperidae
background color,"olive, brown or black",viperidae
head color,typically black or brown,viperidae
vertical rostral stripes,lacking,viperidae
dark cheek stripe,present in juveniles but subdued or indistinguishable in adults,viperidae
pentagonal rostral shield,surmounted by two large suprarostrals,viperidae
frontal shield,"enlarged, weakly keeled",viperidae
interorbitals,five,viperidae
supralabials,six,viperidae
mid-dorsal scales,with elongate recurved acuminate spines,viperidae
dorsal color,yellow-green,viperidae
markings on back of head,black h-shaped,viperidae
stripe from eye along lower temporals,"short, black",viperidae
blotches on tail,black,viperidae
interstitial skin,black,viperidae
eye color,mottled green with a gold border,viperidae
ventrum color,pale greenish-yellow with black blotches,viperidae
körperbau,"gedrungenen, vipernähnlichen",viperidae
kopf,breiteren,viperidae
schnauzenkante,deutlicher,viperidae
schuppen über jedem auge,drei hornartig emporstehenden,viperidae
schuppenformel,"sq. 27, v. 143, a. 1, sc. 54,",viperidae
supralabialen,11 -10,viperidae
sublabialen,12-11,viperidae
schuppe in einer querreihe zwischen den hörnern,neun,viperidae
rinnenschilder,ein paar,viperidae
gularenreihen,vier,viperidae
rumpfschuppen,"stachelspitzig, die kiele schief nach hinten und unten gerichtet",viperidae
schildehen,zwei reihen,viperidae
farbe oben,olivengrün mit unregelmässigen und undeutlichen schwarzbraunen querbinden und gelblichen flecken,viperidae
farbe unten,gelbgrün mit feinen schwarzen punkten an den hinterrändern der ventralen,viperidae
totallänge,420 mm,viperidae
schwanzlänge,70 mm,viperidae
rumpfdicke,10 mm,viperidae
rumpfhöhe,15 mm,viperidae
kopflänge,20 mm,viperidae
kopfbreite,16 mm,viperidae
länge der supraorbitalhörner,"1, 3, 3 mm",viperidae
habitus,slender,viperidae
body,laterally compressed,viperidae
ventral and subcaudal counts,high,viperidae
head,short square,viperidae
dorsal head scales,"small to moderate, more or less keeled",viperidae
rostral,fragmented,viperidae
rostral,wide shallow,viperidae
suprarostrals,2-8,viperidae
transverse dorsal scale rows,with frequent duplications or fusions,viperidae
subcaudals,single,viperidae
palatine-pterygoid articulation,a simple overlapping joint,viperidae
intra-pulmonary bronchus,short,viperidae
rostral,three times as broad as deep,viperidae
suprarostrals,"three, outer ones largest",viperidae
internasals,"5 or 6, slightly rugose",viperidae
nasals,separated from eye by 2 or 3 scales,viperidae
headshields,"strongly keeled, keels terminating in a knob",viperidae
interorbital scales,9-11,viperidae
eye,"moderate, vertical diameter subequal to distance from the lip",viperidae
supralabials,9-12,viperidae
circumorbitals,14-17,viperidae
mental,about one and a half times as wide as long,viperidae
infralabials,11,viperidae
sublinguals,a pair of large,viperidae
gulars,"five rows, the outer ones keeled",viperidae
dorsals,"keeled and pointed, the keel terminating at the tip, 23-31 rows at midbody",viperidae
ventrals,133-144,viperidae
subcaudals,38-49,viperidae
dorsal color,pale brown to olive or purple brown,viperidae
vertebral markings,a series of dark-bordered and dark-centered yellowish rhombic,viperidae
tail tip color,yellow,viperidae
ventrum color,"yellow anteriorly, grey-green posteriorly",viperidae
ventrals,every third with a yellow lateral spot and a few with short black transverse bars,viperidae
coloration,green,viperidae
black arrowhead marking,on top of the head,viperidae
black lateral stripe,from the tip of the snout through the eye,viperidae
black dorsal blotches,irregular,viperidae
dorsal scales,tipped or bordered black,viperidae
tail tip,blackish,viperidae
ventrum color,uniform lighter green to yellow-green or with a dark median streak,viperidae
juvenile color,dull grey-green to almost black,viperidae
juvenile tail tip,white,viperidae
head,an adjective like a vipera,viperidae
vertiefung,between eye and nostrils like trigonocephalus,viperidae
schuppen,under the tail like echis,viperidae
vorderen zähne,des unterkiefers besonders lang,viperidae
ventrals,103-115,viperidae
anterior scale rows,27-28,viperidae
ventrals,146-152,viperidae
type,female,viperidae
dorsals,25,viperidae
ventrals,152,viperidae
caudals,33,viperidae
ventrals,151,viperidae
caudals,34,viperidae
ventrals,146,viperidae
caudals,37,viperidae
ventrals,103-155,viperidae
supraoculars,reduced or fragmented medially into small scales,viperidae
interoculars,7-12,viperidae
subfoveal rows,1-3,viperidae
dorsal head scales,moderately to strongly keeled,viperidae
total length,to 1078 mm,viperidae
dorsal coloration,tan to brown,viperidae
lateral blotches along flank,present,viperidae
posterior-lateral eye stripe,present,viperidae
dorsal head scales,small and keeled,viperidae
nasorostrals,present or absent,viperidae
supralabials,9-12,viperidae
infralabials,9-14,viperidae
ventrals,103-155,viperidae
subcaudals,22-40,viperidae
midbody dorsal scale rows,23-31,viperidae
choanal process on the palatine,presence,viperidae
oviparity,no adjective,viperidae
head scales,large,viperidae
dorsal scales,smooth,viperidae
body,cylindrical,viperidae
